Name,Grade,Size,Color,Paid,Notes
Maya R.,11,M,Navy,yes,
Theo K.,10th,Large,navy,Y,
 Priya S. ,12,small,Gray,paid,
Jordan B.,11,XL,Navy,no,
Luis M.,9,med,grey,,"Can I pay Friday, after practice?"
Aisha T.,Junior,L,NAVY ,yes,
Caleb W.,12th,2XL,Gray,y,
Maya R.,11,M,Navy,yes,
Nora F.,10,S,Gray,No,
"Reyes, Ana",10,L,Navy,yes,
Ben O.,11,m,Navy,paid,"Name on sleeve, if that is an option"
,,,,,
Name,Grade,Size,Color,Paid,Notes
Zoe L.,9th,x-large,Navy,yes,
Marcus D.,12,,Gray,yes,Forgot to pick a size
Emily C.,10,Medium,Heather,yes,
Ravi P.,Senior,L,gray,cash,
Hana Y.,11,XXL,navy,Yes,
Isaac G.,10,S,Navy,n,
maya r.,11,m,navy,YES,
Grace H.,9,Small,Gray,yes,
Owen J.,11,large,Navy,no,
Sam V.,freshman,M,Gray,Paid,
